"bond_id","entity","amount_issued","currency","issue_date","maturity_date","cbi_certified","spo_provider"
"1493700001001","Tanga Urban Water Supply and Sanitation Authority (Tanga UWASA)","53120000000","TZS","2024-04-01 00:00:00","2034-04-01 00:00:00","","ISS ESG"
"1375800015001","PSP Swiss Property","100000000","CHF","2024-04-01 00:00:00","2032-10-01 00:00:00","","Moody's"
"1384100026001","Credit Agricole CIB Financial Solutions SA","150000000","PLN","2024-04-01 00:00:00","2028-04-01 00:00:00","","ISS ESG"
"1270100004001","AP Moller - Maersk","500000000","EUR","2024-03-01 00:00:00","2036-03-01 00:00:00","","S&P Global"
"1337600194001","Credit Agricole Next Bank Suisse SA","100000000","CHF","2024-03-01 00:00:00","2027-03-01 00:00:00","","Vigeo Eiris"
"1495800001001","Switch ABS Issuer LLC 2024-1","657600000","USD","2024-03-01 00:00:00","2054-03-01 00:00:00","","Sustainalytics"
"1496600001001","Jotun AS","650000000","SEK","2024-03-01 00:00:00","2029-03-01 00:00:00","","DNV"
"1221900002001","Lantmannen ek for","900000000","SEK","2024-03-01 00:00:00","2029-03-01 00:00:00","","S&P Global Ratings"
"1299600005001","NBN Co Ltd","600000000","EUR","2024-03-01 00:00:00","2034-03-01 00:00:00","","Sustainalytics"
"1299600006001","NBN Co Ltd","700000000","EUR","2024-03-01 00:00:00","2030-03-01 00:00:00","","Sustainalytics"
"1221900003001","Lantmannen ek for","350000000","SEK","2024-03-01 00:00:00","2029-03-01 00:00:00","","S&P Global Ratings"
"1221900004001","Lantmannen ek for","750000000","SEK","2024-03-01 00:00:00","2027-03-01 00:00:00","","S&P Global Ratings"
"1011300021001","TenneT Holding BV","550000000","EUR","2024-03-01 00:00:00","null","","ISS ESG"
"1011300022001","TenneT Holding BV","550000000","EUR","2024-03-01 00:00:00","null","","ISS ESG"
"1001600281001","Credit Agricole CIB","400000000","JPY","2024-03-01 00:00:00","2029-03-01 00:00:00","","ISS ESG"
"1308700006001","Transpower New Zealand","150000000","CHF","2024-03-01 00:00:00","2031-03-01 00:00:00","EY Australia",""
"1167600006001","Meridian Energy","300000000","NZD","2024-03-01 00:00:00","2030-03-01 00:00:00","DNV",""
"1497200001001","Maoming Port Group Co Ltd","640000000","CNY","2024-03-01 00:00:00","2027-03-01 00:00:00","","S&P Global Ratings"
"1496700001001","Republic of Iceland","750000000","EUR","2024-03-01 00:00:00","2034-03-01 00:00:00","","CICERO"
"1039700002001","Fingrid Oyj","500000000","EUR","2024-03-01 00:00:00","2034-03-01 00:00:00","","ISS ESG"
"1024400022001","Societe Nationale SNCF SA","1000000000","EUR","2024-03-01 00:00:00","2034-05-01 00:00:00","ISS ESG",""
"1261000006001","Hufvudstaden AB","500000000","SEK","2024-03-01 00:00:00","2029-03-01 00:00:00","","CICERO"
"1140100002001","Bank of Montreal","50000000","USD","2024-03-01 00:00:00","2034-03-01 00:00:00","","Sustainalytics"
"1401900002001","Stellantis NV","500000000","EUR","2024-03-01 00:00:00","2036-03-01 00:00:00","","CICERO"
"1074200009001","Wallenstam AB","300000000","SEK","2024-03-01 00:00:00","2026-03-01 00:00:00","","CICERO"
"1001600282001","Credit Agricole CIB","1000000","USD","2024-03-01 00:00:00","2027-03-01 00:00:00","","ISS ESG"
"1180300008001","CaixaBank SA","300000000","CHF","2024-03-01 00:00:00","2030-03-01 00:00:00","","Sustainalytics"
"1484800003001","BBVA Global Markets BV","16000000","AUD","2024-03-01 00:00:00","2034-03-01 00:00:00","","DNV"
